size,type,W,A,H_t,h,B,b,t_nom,t,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C
HSS5X2X3/8,HSS,14.72 plf,4.09 in ** 2,5.0 in,3.95 in,2.0 in,0.953 in,0.375 in,0.349 in,2.73,11.3,10.4 in ** 4,5.71 in ** 3,4.14 in ** 3,1.59 in,2.28 in ** 4,2.88 in ** 3,2.28 in ** 3,0.748 in,6.61 in ** 4,5.2 in ** 3
HSS5X2X5/16,HSS,12.7 plf,3.52 in ** 2,5.0 in,4.13 in,2.0 in,1.13 in,0.3125 in,0.291 in,3.87,14.2,9.35 in ** 4,5.05 in ** 3,3.74 in ** 3,1.63 in,2.1 in ** 4,2.57 in ** 3,2.1 in ** 3,0.772 in,5.99 in ** 4,4.59 in ** 3
HSS5X2X1/4,HSS,10.51 plf,2.91 in ** 2,5.0 in,4.3 in,2.0 in,1.3 in,0.25 in,0.233 in,5.58,18.5,8.08 in ** 4,4.27 in ** 3,3.23 in ** 3,1.67 in,1.84 in ** 4,2.2 in ** 3,1.84 in ** 3,0.797 in,5.17 in ** 4,3.88 in ** 3
HSS5X2X3/16,HSS,8.15 plf,2.24 in ** 2,5.0 in,4.48 in,2.0 in,1.48 in,0.1875 in,0.174 in,8.49,25.7,6.5 in ** 4,3.37 in ** 3,2.6 in ** 3,1.7 in,1.51 in ** 4,1.75 in ** 3,1.51 in ** 3,0.823 in,4.15 in ** 4,3.05 in ** 3
HSS5X2X1/8,HSS,5.61 plf,1.54 in ** 2,5.0 in,4.65 in,2.0 in,1.65 in,0.125 in,0.116 in,14.2,40.1,4.65 in ** 4,2.37 in ** 3,1.86 in ** 3,1.74 in,1.1 in ** 4,1.24 in ** 3,1.1 in ** 3,0.848 in,2.95 in ** 4,2.13 in ** 3
HSS4-1/2X4-1/2X1/2,HSS,25.03 plf,6.95 in ** 2,4.5 in,3.1 in,4.5 in,3.1 in,0.5 in,0.465 in,6.68,6.68,18.1 in ** 4,10.2 in ** 3,8.03 in ** 3,1.61 in,18.1 in ** 4,10.2 in ** 3,8.03 in ** 3,1.61 in,31.3 in ** 4,14.8 in ** 3
HSS4-1/2X4-1/2X3/8,HSS,19.82 plf,5.48 in ** 2,4.5 in,3.45 in,4.5 in,3.45 in,0.375 in,0.349 in,9.89,9.89,15.3 in ** 4,8.36 in ** 3,6.79 in ** 3,1.67 in,15.3 in ** 4,8.36 in ** 3,6.79 in ** 3,1.67 in,25.7 in ** 4,11.9 in ** 3
HSS4-1/2X4-1/2X5/16,HSS,16.96 plf,4.68 in ** 2,4.5 in,3.63 in,4.5 in,3.63 in,0.3125 in,0.291 in,12.5,12.5,13.5 in ** 4,7.27 in ** 3,6.0 in ** 3,1.7 in,13.5 in ** 4,7.27 in ** 3,6.0 in ** 3,1.7 in,22.3 in ** 4,10.2 in ** 3
HSS4-1/2X4-1/2X1/4,HSS,13.91 plf,3.84 in ** 2,4.5 in,3.8 in,4.5 in,3.8 in,0.25 in,0.233 in,16.3,16.3,11.4 in ** 4,6.06 in ** 3,5.08 in ** 3,1.73 in,11.4 in ** 4,6.06 in ** 3,5.08 in ** 3,1.73 in,18.5 in ** 4,8.44 in ** 3
HSS4-1/2X4-1/2X3/16,HSS,10.7 plf,2.93 in ** 2,4.5 in,3.98 in,4.5 in,3.98 in,0.1875 in,0.174 in,22.9,22.9,9.02 in ** 4,4.71 in ** 3,4.01 in ** 3,1.75 in,9.02 in ** 4,4.71 in ** 3,4.01 in ** 3,1.75 in,14.4 in ** 4,6.49 in ** 3
HSS4-1/2X4-1/2X1/8,HSS,7.31 plf,2.0 in ** 2,4.5 in,4.15 in,4.5 in,4.15 in,0.125 in,0.116 in,35.8,35.8,6.35 in ** 4,3.27 in ** 3,2.82 in ** 3,1.78 in,6.35 in ** 4,3.27 in ** 3,2.82 in ** 3,1.78 in,9.92 in ** 4,4.45 in ** 3
HSS4X4X1/2,HSS,21.63 plf,6.02 in ** 2,4.0 in,2.6 in,4.0 in,2.6 in,0.5 in,0.465 in,5.6,5.6,11.9 in ** 4,7.7 in ** 3,5.97 in ** 3,1.41 in,11.9 in ** 4,7.7 in ** 3,5.97 in ** 3,1.41 in,21.0 in ** 4,11.2 in ** 3
HSS4X4X3/8,HSS,17.27 plf,4.78 in ** 2,4.0 in,2.95 in,4.0 in,2.95 in,0.375 in,0.349 in,8.46,8.46,10.3 in ** 4,6.39 in ** 3,5.13 in ** 3,1.47 in,10.3 in ** 4,6.39 in ** 3,5.13 in ** 3,1.47 in,17.5 in ** 4,9.14 in ** 3
