size,type,W,A,d_nom,d,d_det,b_f,b_f_det,t_w,t_w_det,t_w_det_over_2,t_f,t_f_det,k,k_det,k_1,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C_w,W_no,S_w1,Q_f,Q_w,r_ts,h_o,PA,PB,PC,PD,T,WG_i
W44X408,W,408.0 plf,120.0 in ** 2,44 in,44.8 in,44.75 in,16.1 in,16.125 in,1.22 in,1.25 in,0.625 in,2.17 in,2.1875 in,2.96 in,3.375 in,1.8125 in,3.71,31.9,38700.0 in ** 4,2000.0 in ** 3,1730.0 in ** 3,18.0 in,1520.0 in ** 4,297.0 in ** 3,189.0 in ** 3,3.56 in,134.0 in ** 4,691000.0 in ** 6,172.0 in ** 2,1500.0 in ** 4,344.0 in ** 3,994.0 in ** 3,4.33 in,42.6 in,134.0 in,150.0 in,106.0 in,122.0 in,38.0 in,5.5 in
W44X368,W,368.0 plf,108.0 in ** 2,44 in,44.4 in,44.375 in,16.0 in,16.0 in,1.1 in,1.125 in,0.5625 in,1.97 in,2.0 in,2.76 in,3.1875 in,1.75 in,4.06,35.4,34700.0 in ** 4,1800.0 in ** 3,1560.0 in ** 3,17.9 in,1350.0 in ** 4,265.0 in ** 3,169.0 in ** 3,3.54 in,100.0 in ** 4,608000.0 in ** 6,170.0 in ** 2,1340.0 in ** 4,311.0 in ** 3,894.0 in ** 3,4.28 in,42.4 in,133.0 in,149.0 in,105.0 in,121.0 in,38.0 in,5.5 in
W44X335,W,335.0 plf,98.5 in ** 2,44 in,44.0 in,44.0 in,15.9 in,16.0 in,1.03 in,1.0 in,0.5 in,1.77 in,1.75 in,2.56 in,3.0 in,1.75 in,4.5,38.0,31100.0 in ** 4,1620.0 in ** 3,1410.0 in ** 3,17.8 in,1200.0 in ** 4,236.0 in ** 3,150.0 in ** 3,3.49 in,74.7 in ** 4,535000.0 in ** 6,168.0 in ** 2,1180.0 in ** 4,278.0 in ** 3,805.0 in ** 3,4.24 in,42.2 in,132.0 in,148.0 in,104.0 in,120.0 in,38.0 in,5.5 in
W44X290,W,290.0 plf,85.4 in ** 2,44 in,43.6 in,43.625 in,15.8 in,15.875 in,0.865 in,0.875 in,0.4375 in,1.58 in,1.5625 in,2.36 in,2.8125 in,1.625 in,5.02,45.0,27000.0 in ** 4,1410.0 in ** 3,1240.0 in ** 3,17.8 in,1040.0 in ** 4,205.0 in ** 3,132.0 in ** 3,3.49 in,50.9 in ** 4,461000.0 in ** 6,166.0 in ** 2,1040.0 in ** 4,248.0 in ** 3,701.0 in ** 3,4.2 in,42.0 in,131.0 in,147.0 in,103.0 in,119.0 in,38.0 in,5.5 in
W44X262,W,262.0 plf,77.2 in ** 2,44 in,43.3 in,43.25 in,15.8 in,15.75 in,0.785 in,0.8125 in,0.4375 in,1.42 in,1.4375 in,2.2 in,2.625 in,1.625 in,5.57,49.6,24100.0 in ** 4,1270.0 in ** 3,1110.0 in ** 3,17.7 in,923.0 in ** 4,182.0 in ** 3,117.0 in ** 3,3.47 in,37.3 in ** 4,405000.0 in ** 6,165.0 in ** 2,928.0 in ** 4,223.0 in ** 3,630.0 in ** 3,4.17 in,41.9 in,131.0 in,147.0 in,102.0 in,118.0 in,38.0 in,5.5 in
W44X230,W,230.0 plf,67.8 in ** 2,44 in,42.9 in,42.875 in,15.8 in,15.75 in,0.71 in,0.6875 in,0.375 in,1.22 in,1.25 in,2.01 in,2.4375 in,1.5625 in,6.45,54.8,20800.0 in ** 4,1100.0 in ** 3,971.0 in ** 3,17.5 in,796.0 in ** 4,157.0 in ** 3,101.0 in ** 3,3.43 in,24.9 in ** 4,346000.0 in ** 6,165.0 in ** 2,793.0 in ** 4,192.0 in ** 3,547.0 in ** 3,4.13 in,41.7 in,130.0 in,146.0 in,102.0 in,118.0 in,38.0 in,5.5 in
W40X655,W,655.0 plf,193.0 in ** 2,40 in,43.6 in,43.625 in,16.9 in,16.875 in,1.97 in,2.0 in,1.0 in,3.54 in,3.5625 in,4.72 in,4.8125 in,2.1875 in,2.39,17.3,56500.0 in ** 4,3080.0 in ** 3,2590.0 in ** 3,17.1 in,2870.0 in ** 4,542.0 in ** 3,340.0 in ** 3,3.86 in,589.0 in ** 4,1150000.0 in ** 6,169.0 in ** 2,2530.0 in ** 4,529.0 in ** 3,1530.0 in ** 3,4.71 in,40.1 in,132.0 in,149.0 in,104.0 in,121.0 in,34.0 in,7.5 in
W40X593,W,593.0 plf,174.0 in ** 2,40 in,43.0 in,43.0 in,16.7 in,16.75 in,1.79 in,1.8125 in,0.9375 in,3.23 in,3.25 in,4.41 in,4.5 in,2.125 in,2.58,19.1,50400.0 in ** 4,2760.0 in ** 3,2340.0 in ** 3,17.0 in,2520.0 in ** 4,481.0 in ** 3,302.0 in ** 3,3.8 in,445.0 in ** 4,997000.0 in ** 6,166.0 in ** 2,2240.0 in ** 4,479.0 in ** 3,1370.0 in ** 3,4.63 in,39.8 in,130.0 in,147.0 in,103.0 in,120.0 in,34.0 in,7.5 in
W40X503,W,503.0 plf,148.0 in ** 2,40 in,42.1 in,42.0 in,16.4 in,16.375 in,1.54 in,1.5625 in,0.8125 in,2.76 in,2.75 in,3.94 in,4.0 in,2.0 in,2.98,22.3,41600.0 in ** 4,2320.0 in ** 3,1980.0 in ** 3,16.8 in,2040.0 in ** 4,394.0 in ** 3,249.0 in ** 3,3.72 in,277.0 in ** 4,789000.0 in ** 6,161.0 in ** 2,1830.0 in ** 4,403.0 in ** 3,1150.0 in ** 3,4.5 in,39.3 in,129.0 in,145.0 in,101.0 in,117.0 in,34.0 in,7.5 in
W40X431,W,431.0 plf,127.0 in ** 2,40 in,41.3 in,41.25 in,16.2 in,16.25 in,1.34 in,1.3125 in,0.6875 in,2.36 in,2.375 in,3.54 in,3.625 in,1.875 in,3.44,25.5,34800.0 in ** 4,1960.0 in ** 3,1690.0 in ** 3,16.6 in,1690.0 in ** 4,328.0 in ** 3,208.0 in ** 3,3.65 in,177.0 in ** 4,638000.0 in ** 6,158.0 in ** 2,1510.0 in ** 4,341.0 in ** 3,969.0 in ** 3,4.41 in,38.9 in,127.0 in,143.0 in,98.8 in,115.0 in,34.0 in,7.5 in
W40X397,W,397.0 plf,117.0 in ** 2,40 in,41.0 in,41.0 in,16.1 in,16.125 in,1.22 in,1.25 in,0.625 in,2.2 in,2.1875 in,3.38 in,3.5 in,1.8125 in,3.66,28.0,32000.0 in ** 4,1800.0 in ** 3,1560.0 in ** 3,16.6 in,1540.0 in ** 4,300.0 in ** 3,191.0 in ** 3,3.64 in,142.0 in ** 4,579000.0 in ** 6,156.0 in ** 2,1380.0 in ** 4,318.0 in ** 3,891.0 in ** 3,4.38 in,38.8 in,126.0 in,142.0 in,98.1 in,114.0 in,34.0 in,7.5 in
W40X372,W,372.0 plf,110.0 in ** 2,40 in,40.6 in,40.625 in,16.1 in,16.125 in,1.16 in,1.1875 in,0.625 in,2.05 in,2.0625 in,3.23 in,3.3125 in,1.8125 in,3.93,29.5,29600.0 in ** 4,1680.0 in ** 3,1460.0 in ** 3,16.5 in,1420.0 in ** 4,277.0 in ** 3,177.0 in ** 3,3.6 in,116.0 in ** 4,528000.0 in ** 6,155.0 in ** 2,1280.0 in ** 4,295.0 in ** 3,829.0 in ** 3,4.33 in,38.6 in,125.0 in,141.0 in,97.3 in,113.0 in,34.0 in,7.5 in
W40X362,W,362.0 plf,106.0 in ** 2,40 in,40.6 in,40.5 in,16.0 in,16.0 in,1.12 in,1.125 in,0.5625 in,2.01 in,2.0 in,3.19 in,3.25 in,1.75 in,3.99,30.5,28900.0 in ** 4,1640.0 in ** 3,1420.0 in ** 3,16.5 in,1380.0 in ** 4,270.0 in ** 3,173.0 in ** 3,3.6 in,109.0 in ** 4,513000.0 in ** 6,154.0 in ** 2,1240.0 in ** 4,289.0 in ** 3,808.0 in ** 3,4.33 in,38.6 in,125.0 in,141.0 in,97.2 in,113.0 in,34.0 in,7.5 in
W40X324,W,324.0 plf,95.3 in ** 2,40 in,40.2 in,40.125 in,15.9 in,15.875 in,1.0 in,1.0 in,0.5 in,1.81 in,1.8125 in,2.99 in,3.0625 in,1.6875 in,4.4,34.2,25600.0 in ** 4,1460.0 in ** 3,1280.0 in ** 3,16.4 in,1220.0 in ** 4,239.0 in ** 3,153.0 in ** 3,3.58 in,79.4 in ** 4,448000.0 in ** 6,153.0 in ** 2,1100.0 in ** 4,259.0 in ** 3,720.0 in ** 3,4.27 in,38.4 in,124.0 in,140.0 in,96.3 in,112.0 in,34.0 in,7.5 in
W40X297,W,297.0 plf,87.3 in ** 2,40 in,39.8 in,39.875 in,15.8 in,15.875 in,0.93 in,0.9375 in,0.5 in,1.65 in,1.625 in,2.83 in,2.9375 in,1.6875 in,4.8,36.8,23200.0 in ** 4,1330.0 in ** 3,1170.0 in ** 3,16.3 in,1090.0 in ** 4,215.0 in ** 3,138.0 in ** 3,3.54 in,61.2 in ** 4,399000.0 in ** 6,151.0 in ** 2,982.0 in ** 4,234.0 in ** 3,652.0 in ** 3,4.22 in,38.2 in,123.0 in,139.0 in,95.4 in,111.0 in,34.0 in,7.5 in
W40X277,W,277.0 plf,81.5 in ** 2,40 in,39.7 in,39.75 in,15.8 in,15.875 in,0.83 in,0.8125 in,0.4375 in,1.58 in,1.5625 in,2.76 in,2.875 in,1.625 in,5.03,41.2,21900.0 in ** 4,1250.0 in ** 3,1100.0 in ** 3,16.4 in,1040.0 in ** 4,204.0 in ** 3,132.0 in ** 3,3.58 in,51.5 in ** 4,379000.0 in ** 6,151.0 in ** 2,940.0 in ** 4,225.0 in ** 3,614.0 in ** 3,4.25 in,38.1 in,123.0 in,139.0 in,95.2 in,111.0 in,34.0 in,7.5 in
W40X249,W,249.0 plf,73.5 in ** 2,40 in,39.4 in,39.375 in,15.8 in,15.75 in,0.75 in,0.75 in,0.375 in,1.42 in,1.4375 in,2.6 in,2.6875 in,1.5625 in,5.55,45.6,19600.0 in ** 4,1120.0 in ** 3,993.0 in ** 3,16.3 in,926.0 in ** 4,182.0 in ** 3,118.0 in ** 3,3.55 in,38.1 in ** 4,334000.0 in ** 6,150.0 in ** 2,841.0 in ** 4,203.0 in ** 3,551.0 in ** 3,4.21 in,38.0 in,122.0 in,138.0 in,94.6 in,110.0 in,34.0 in,7.5 in
W40X215,W,215.0 plf,63.5 in ** 2,40 in,39.0 in,39.0 in,15.8 in,15.75 in,0.65 in,0.625 in,0.3125 in,1.22 in,1.25 in,2.4 in,2.5 in,1.5625 in,6.45,52.6,16700.0 in ** 4,964.0 in ** 3,859.0 in ** 3,16.2 in,803.0 in ** 4,156.0 in ** 3,101.0 in ** 3,3.54 in,24.8 in ** 4,284000.0 in ** 6,149.0 in ** 2,719.0 in ** 4,175.0 in ** 3,473.0 in ** 3,4.19 in,37.8 in,122.0 in,138.0 in,93.8 in,110.0 in,34.0 in,7.5 in
W40X199,W,199.0 plf,58.8 in ** 2,40 in,38.7 in,38.625 in,15.8 in,15.75 in,0.65 in,0.625 in,0.3125 in,1.07 in,1.0625 in,2.25 in,2.3125 in,1.5625 in,7.39,52.6,14900.0 in ** 4,869.0 in ** 3,770.0 in ** 3,16.0 in,695.0 in ** 4,137.0 in ** 3,88.2 in ** 3,3.45 in,18.3 in ** 4,246000.0 in ** 6,149.0 in ** 2,628.0 in ** 4,153.0 in ** 3,427.0 in ** 3,4.12 in,37.6 in,121.0 in,137.0 in,93.2 in,109.0 in,34.0 in,7.5 in
W40X392,W,392.0 plf,116.0 in ** 2,40 in,41.6 in,41.625 in,12.4 in,12.375 in,1.42 in,1.4375 in,0.75 in,2.52 in,2.5 in,3.7 in,3.8125 in,1.9375 in,2.45,24.1,29900.0 in ** 4,1710.0 in ** 3,1440.0 in ** 3,16.1 in,803.0 in ** 4,212.0 in ** 3,130.0 in ** 3,2.64 in,172.0 in ** 4,306000.0 in ** 6,121.0 in ** 2,946.0 in ** 4,270.0 in ** 3,848.0 in ** 3,3.3 in,39.1 in,116.0 in,128.0 in,95.6 in,108.0 in,34.0 in,7.5 in
W40X331,W,331.0 plf,97.7 in ** 2,40 in,40.8 in,40.75 in,12.2 in,12.125 in,1.22 in,1.25 in,0.625 in,2.13 in,2.125 in,3.31 in,3.375 in,1.8125 in,2.86,28.0,24700.0 in ** 4,1430.0 in ** 3,1210.0 in ** 3,15.9 in,644.0 in ** 4,172.0 in ** 3,106.0 in ** 3,2.57 in,105.0 in ** 4,241000.0 in ** 6,118.0 in ** 2,766.0 in ** 4,226.0 in ** 3,706.0 in ** 3,3.21 in,38.7 in,114.0 in,126.0 in,93.8 in,106.0 in,34.0 in,7.5 in
W40X327,W,327.0 plf,95.9 in ** 2,40 in,40.8 in,40.75 in,12.1 in,12.125 in,1.18 in,1.1875 in,0.625 in,2.13 in,2.125 in,3.31 in,3.375 in,1.8125 in,2.85,29.0,24500.0 in ** 4,1410.0 in ** 3,1200.0 in ** 3,16.0 in,640.0 in ** 4,170.0 in ** 3,105.0 in ** 3,2.58 in,103.0 in ** 4,239000.0 in ** 6,117.0 in ** 2,754.0 in ** 4,225.0 in ** 3,695.0 in ** 3,3.21 in,38.7 in,114.0 in,126.0 in,93.7 in,106.0 in,34.0 in,7.5 in
W40X294,W,294.0 plf,86.2 in ** 2,40 in,40.4 in,40.375 in,12.0 in,12.0 in,1.06 in,1.0625 in,0.5625 in,1.93 in,1.9375 in,3.11 in,3.1875 in,1.75 in,3.11,32.2,21900.0 in ** 4,1270.0 in ** 3,1080.0 in ** 3,15.9 in,562.0 in ** 4,150.0 in ** 3,93.5 in ** 3,2.55 in,76.6 in ** 4,208000.0 in ** 6,115.0 in ** 2,668.0 in ** 4,203.0 in ** 3,622.0 in ** 3,3.16 in,38.5 in,113.0 in,125.0 in,92.8 in,105.0 in,34.0 in,7.5 in
W40X278,W,278.0 plf,82.3 in ** 2,40 in,40.2 in,40.125 in,12.0 in,12.0 in,1.03 in,1.0 in,0.5 in,1.81 in,1.8125 in,2.99 in,3.0625 in,1.75 in,3.31,33.3,20500.0 in ** 4,1190.0 in ** 3,1020.0 in ** 3,15.8 in,521.0 in ** 4,140.0 in ** 3,87.1 in ** 3,2.52 in,65.0 in ** 4,192000.0 in ** 6,115.0 in ** 2,622.0 in ** 4,190.0 in ** 3,587.0 in ** 3,3.13 in,38.4 in,112.0 in,124.0 in,92.4 in,104.0 in,34.0 in,7.5 in
W40X264,W,264.0 plf,77.4 in ** 2,40 in,40.0 in,40.0 in,11.9 in,11.875 in,0.96 in,0.9375 in,0.5 in,1.73 in,1.75 in,2.91 in,3.0 in,1.6875 in,3.45,35.6,19400.0 in ** 4,1130.0 in ** 3,971.0 in ** 3,15.8 in,493.0 in ** 4,132.0 in ** 3,82.6 in ** 3,2.52 in,56.1 in ** 4,181000.0 in ** 6,114.0 in ** 2,589.0 in ** 4,182.0 in ** 3,555.0 in ** 3,3.12 in,38.3 in,112.0 in,124.0 in,91.9 in,104.0 in,34.0 in,7.5 in
W40X235,W,235.0 plf,69.1 in ** 2,40 in,39.7 in,39.75 in,11.9 in,11.875 in,0.83 in,0.8125 in,0.4375 in,1.58 in,1.5625 in,2.76 in,2.875 in,1.625 in,3.77,41.2,17400.0 in ** 4,1010.0 in ** 3,875.0 in ** 3,15.9 in,444.0 in ** 4,118.0 in ** 3,74.6 in ** 3,2.54 in,41.3 in ** 4,161000.0 in ** 6,113.0 in ** 2,530.0 in ** 4,166.0 in ** 3,495.0 in ** 3,3.11 in,38.1 in,111.0 in,123.0 in,91.3 in,103.0 in,34.0 in,7.5 in
W40X211,W,211.0 plf,62.1 in ** 2,40 in,39.4 in,39.375 in,11.8 in,11.75 in,0.75 in,0.75 in,0.375 in,1.42 in,1.4375 in,2.6 in,2.6875 in,1.5625 in,4.17,45.6,15500.0 in ** 4,906.0 in ** 3,786.0 in ** 3,15.8 in,390.0 in ** 4,105.0 in ** 3,66.1 in ** 3,2.51 in,30.4 in ** 4,141000.0 in ** 6,112.0 in ** 2,468.0 in ** 4,148.0 in ** 3,442.0 in ** 3,3.07 in,38.0 in,110.0 in,122.0 in,90.6 in,102.0 in,34.0 in,7.5 in
W40X183,W,183.0 plf,53.3 in ** 2,40 in,39.0 in,39.0 in,11.8 in,11.75 in,0.65 in,0.625 in,0.3125 in,1.2 in,1.1875 in,2.38 in,2.5 in,1.5625 in,4.92,52.6,13200.0 in ** 4,774.0 in ** 3,675.0 in ** 3,15.7 in,331.0 in ** 4,88.3 in ** 3,56.0 in ** 3,2.49 in,19.3 in ** 4,118000.0 in ** 6,112.0 in ** 2,395.0 in ** 4,126.0 in ** 3,376.0 in ** 3,3.04 in,37.8 in,110.0 in,122.0 in,89.8 in,102.0 in,34.0 in,7.5 in
W40X167,W,167.0 plf,49.3 in ** 2,40 in,38.6 in,38.625 in,11.8 in,11.75 in,0.65 in,0.625 in,0.3125 in,1.03 in,1.0 in,2.21 in,2.3125 in,1.5625 in,5.76,52.6,11600.0 in ** 4,693.0 in ** 3,600.0 in ** 3,15.3 in,283.0 in ** 4,76.0 in ** 3,47.9 in ** 3,2.4 in,14.0 in ** 4,99700.0 in ** 6,111.0 in ** 2,336.0 in ** 4,107.0 in ** 3,336.0 in ** 3,2.98 in,37.6 in,109.0 in,121.0 in,89.0 in,101.0 in,34.0 in,7.5 in
W40X149,W,149.0 plf,43.8 in ** 2,40 in,38.2 in,38.25 in,11.8 in,11.75 in,0.63 in,0.625 in,0.3125 in,0.83 in,0.8125 in,2.01 in,2.125 in,1.5 in,7.11,54.3,9800.0 in ** 4,598.0 in ** 3,513.0 in ** 3,15.0 in,229.0 in ** 4,62.2 in ** 3,38.8 in ** 3,2.29 in,9.36 in ** 4,80000.0 in ** 6,110.0 in ** 2,270.0 in ** 4,86.7 in ** 3,288.0 in ** 3,2.89 in,37.4 in,108.0 in,120.0 in,88.2 in,100.0 in,34.0 in,7.5 in
W36X925,W,925.0 plf,272.0 in ** 2,36 in,43.1 in,43.125 in,18.6 in,18.625 in,3.02 in,3.0 in,1.5 in,4.53 in,4.5 in,5.28 in,5.375 in,2.3125 in,2.05,10.8,73000.0 in ** 4,4130.0 in ** 3,3390.0 in ** 3,16.4 in,4940.0 in ** 4,862.0 in ** 3,531.0 in ** 3,4.26 in,1430.0 in ** 4,1840000.0 in ** 6,179.0 in ** 2,3780.0 in ** 4,681.0 in ** 3,2060.0 in ** 3,5.3 in,38.6 in,134.0 in,153.0 in,105.0 in,124.0 in,32.375 in,7.5 in
W36X853,W,853.0 plf,251.0 in ** 2,36 in,43.1 in,43.125 in,18.2 in,18.25 in,2.52 in,2.5 in,1.25 in,4.53 in,4.5 in,5.28 in,5.375 in,2.0625 in,2.01,12.9,70000.0 in ** 4,3920.0 in ** 3,3250.0 in ** 3,16.7 in,4600.0 in ** 4,805.0 in ** 3,505.0 in ** 3,4.28 in,1240.0 in ** 4,1710000.0 in ** 6,175.0 in ** 2,3620.0 in ** 4,685.0 in ** 3,1950.0 in ** 3,5.22 in,38.6 in,135.0 in,153.0 in,104.0 in,122.0 in,32.375 in,7.5 in
W36X802,W,802.0 plf,236.0 in ** 2,36 in,42.6 in,42.625 in,18.0 in,18.0 in,2.38 in,2.375 in,1.1875 in,4.29 in,4.3125 in,5.04 in,5.125 in,2.0 in,2.1,13.7,64800.0 in ** 4,3660.0 in ** 3,3040.0 in ** 3,16.6 in,4210.0 in ** 4,744.0 in ** 3,468.0 in ** 3,4.22 in,1050.0 in ** 4,1540000.0 in ** 6,172.0 in ** 2,3330.0 in ** 4,642.0 in ** 3,1820.0 in ** 3,5.15 in,38.3 in,133.0 in,151.0 in,103.0 in,121.0 in,32.375 in,7.5 in
W36X723,W,723.0 plf,213.0 in ** 2,36 in,41.8 in,41.75 in,17.8 in,17.75 in,2.17 in,2.1875 in,1.125 in,3.9 in,3.875 in,4.65 in,4.6875 in,1.875 in,2.28,15.0,57300.0 in ** 4,3270.0 in ** 3,2740.0 in ** 3,16.4 in,3700.0 in ** 4,658.0 in ** 3,416.0 in ** 3,4.17 in,785.0 in ** 4,1330000.0 in ** 6,169.0 in ** 2,2930.0 in ** 4,578.0 in ** 3,1630.0 in ** 3,5.06 in,37.9 in,131.0 in,149.0 in,101.0 in,119.0 in,32.375 in,7.5 in
W36X652,W,652.0 plf,192.0 in ** 2,36 in,41.1 in,41.0 in,17.6 in,17.625 in,1.97 in,2.0 in,1.0 in,3.54 in,3.5625 in,4.49 in,4.8125 in,2.1875 in,2.48,16.3,50600.0 in ** 4,2910.0 in ** 3,2460.0 in ** 3,16.2 in,3230.0 in ** 4,581.0 in ** 3,367.0 in ** 3,4.1 in,593.0 in ** 4,1130000.0 in ** 6,165.0 in ** 2,2560.0 in ** 4,518.0 in ** 3,1450.0 in ** 3,4.96 in,37.6 in,129.0 in,147.0 in,99.8 in,117.0 in,31.375 in,7.5 in
W36X529,W,529.0 plf,156.0 in ** 2,36 in,39.8 in,39.75 in,17.2 in,17.25 in,1.61 in,1.625 in,0.8125 in,2.91 in,2.9375 in,3.86 in,4.1875 in,2.0 in,2.96,19.9,39600.0 in ** 4,2330.0 in ** 3,1990.0 in ** 3,16.0 in,2490.0 in ** 4,454.0 in ** 3,289.0 in ** 3,4.0 in,327.0 in ** 4,846000.0 in ** 6,159.0 in ** 2,1990.0 in ** 4,419.0 in ** 3,1160.0 in ** 3,4.8 in,36.9 in,127.0 in,144.0 in,96.8 in,114.0 in,31.375 in,7.5 in
W36X487,W,487.0 plf,143.0 in ** 2,36 in,39.3 in,39.375 in,17.1 in,17.125 in,1.5 in,1.5 in,0.75 in,2.68 in,2.6875 in,3.63 in,4.0 in,1.875 in,3.19,21.4,36000.0 in ** 4,2130.0 in ** 3,1830.0 in ** 3,15.8 in,2250.0 in ** 4,412.0 in ** 3,263.0 in ** 3,3.96 in,258.0 in ** 4,754000.0 in ** 6,157.0 in ** 2,1800.0 in ** 4,383.0 in ** 3,1060.0 in ** 3,4.74 in,36.6 in,125.0 in,142.0 in,95.7 in,113.0 in,31.375 in,7.5 in
W36X441,W,441.0 plf,130.0 in ** 2,36 in,38.9 in,38.875 in,17.0 in,17.0 in,1.36 in,1.375 in,0.6875 in,2.44 in,2.4375 in,3.39 in,3.75 in,1.875 in,3.48,23.6,32100.0 in ** 4,1910.0 in ** 3,1650.0 in ** 3,15.7 in,1990.0 in ** 4,368.0 in ** 3,235.0 in ** 3,3.92 in,194.0 in ** 4,661000.0 in ** 6,154.0 in ** 2,1600.0 in ** 4,347.0 in ** 3,950.0 in ** 3,4.69 in,36.5 in,124.0 in,141.0 in,94.8 in,112.0 in,31.375 in,7.5 in
W36X395,W,395.0 plf,116.0 in ** 2,36 in,38.4 in,38.375 in,16.8 in,16.875 in,1.22 in,1.25 in,0.625 in,2.2 in,2.1875 in,3.15 in,3.4375 in,1.8125 in,3.83,26.3,28500.0 in ** 4,1710.0 in ** 3,1490.0 in ** 3,15.7 in,1750.0 in ** 4,325.0 in ** 3,208.0 in ** 3,3.88 in,142.0 in ** 4,575000.0 in ** 6,152.0 in ** 2,1410.0 in ** 4,311.0 in ** 3,847.0 in ** 3,4.61 in,36.2 in,123.0 in,140.0 in,93.6 in,110.0 in,31.375 in,7.5 in
W36X361,W,361.0 plf,106.0 in ** 2,36 in,38.0 in,38.0 in,16.7 in,16.75 in,1.12 in,1.125 in,0.5625 in,2.01 in,2.0 in,2.96 in,3.3125 in,1.75 in,4.16,28.6,25700.0 in ** 4,1550.0 in ** 3,1350.0 in ** 3,15.6 in,1570.0 in ** 4,293.0 in ** 3,188.0 in ** 3,3.85 in,109.0 in ** 4,509000.0 in ** 6,150.0 in ** 2,1270.0 in ** 4,282.0 in ** 3,767.0 in ** 3,4.58 in,36.0 in,122.0 in,139.0 in,92.7 in,109.0 in,31.375 in,7.5 in
W36X330,W,330.0 plf,96.9 in ** 2,36 in,37.7 in,37.625 in,16.6 in,16.625 in,1.02 in,1.0 in,0.5 in,1.85 in,1.875 in,2.8 in,3.125 in,1.75 in,4.49,31.4,23300.0 in ** 4,1410.0 in ** 3,1240.0 in ** 3,15.5 in,1420.0 in ** 4,265.0 in ** 3,171.0 in ** 3,3.83 in,84.3 in ** 4,456000.0 in ** 6,149.0 in ** 2,1150.0 in ** 4,259.0 in ** 3,698.0 in ** 3,4.53 in,35.9 in,121.0 in,138.0 in,92.0 in,109.0 in,31.375 in,7.5 in
W36X302,W,302.0 plf,89.0 in ** 2,36 in,37.3 in,37.375 in,16.7 in,16.625 in,0.945 in,0.9375 in,0.5 in,1.68 in,1.6875 in,2.63 in,3.0 in,1.6875 in,4.96,33.9,21100.0 in ** 4,1280.0 in ** 3,1130.0 in ** 3,15.4 in,1300.0 in ** 4,241.0 in ** 3,156.0 in ** 3,3.82 in,64.3 in ** 4,412000.0 in ** 6,148.0 in ** 2,1040.0 in ** 4,235.0 in ** 3,635.0 in ** 3,4.53 in,35.6 in,121.0 in,138.0 in,91.3 in,108.0 in,31.375 in,7.5 in
W36X282,W,282.0 plf,82.9 in ** 2,36 in,37.1 in,37.125 in,16.6 in,16.625 in,0.885 in,0.875 in,0.4375 in,1.57 in,1.5625 in,2.52 in,2.875 in,1.625 in,5.29,36.2,19600.0 in ** 4,1190.0 in ** 3,1050.0 in ** 3,15.4 in,1200.0 in ** 4,223.0 in ** 3,144.0 in ** 3,3.8 in,52.7 in ** 4,378000.0 in ** 6,147.0 in ** 2,960.0 in ** 4,219.0 in ** 3,591.0 in ** 3,4.5 in,35.5 in,120.0 in,137.0 in,90.8 in,107.0 in,31.375 in,7.5 in
W36X262,W,262.0 plf,77.2 in ** 2,36 in,36.9 in,36.875 in,16.6 in,16.5 in,0.84 in,0.8125 in,0.4375 in,1.44 in,1.4375 in,2.39 in,2.75 in,1.625 in,5.75,38.2,17900.0 in ** 4,1100.0 in ** 3,972.0 in ** 3,15.3 in,1090.0 in ** 4,204.0 in ** 3,132.0 in ** 3,3.76 in,41.6 in ** 4,342000.0 in ** 6,147.0 in ** 2,873.0 in ** 4,200.0 in ** 3,543.0 in ** 3,4.46 in,35.5 in,120.0 in,137.0 in,90.4 in,107.0 in,31.375 in,7.5 in
W36X247,W,247.0 plf,72.5 in ** 2,36 in,36.7 in,36.625 in,16.5 in,16.5 in,0.8 in,0.8125 in,0.4375 in,1.35 in,1.375 in,2.3 in,2.625 in,1.625 in,6.11,40.1,16700.0 in ** 4,1030.0 in ** 3,913.0 in ** 3,15.2 in,1010.0 in ** 4,190.0 in ** 3,123.0 in ** 3,3.74 in,34.7 in ** 4,316000.0 in ** 6,146.0 in ** 2,812.0 in ** 4,187.0 in ** 3,509.0 in ** 3,4.42 in,35.4 in,120.0 in,136.0 in,89.9 in,106.0 in,31.375 in,7.5 in
W36X231,W,231.0 plf,68.2 in ** 2,36 in,36.5 in,36.5 in,16.5 in,16.5 in,0.76 in,0.75 in,0.375 in,1.26 in,1.25 in,2.21 in,2.5625 in,1.5625 in,6.54,42.2,15600.0 in ** 4,963.0 in ** 3,854.0 in ** 3,15.1 in,940.0 in ** 4,176.0 in ** 3,114.0 in ** 3,3.71 in,28.7 in ** 4,292000.0 in ** 6,145.0 in ** 2,756.0 in ** 4,175.0 in ** 3,476.0 in ** 3,4.4 in,35.2 in,120.0 in,136.0 in,89.5 in,106.0 in,31.375 in,7.5 in
