Index,AISC_Manual_Label,Type,W,A,OD,ID,tnom,tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS1.9X.120,HSS1.900X0.120,RoundHSS,2.28 plf,0.624 in ** 2,1.9 in,1.678 in,0.12 in,0.111 in,17.1,0.251 in ** 4,0.356 in ** 3,0.264 in ** 3,0.634 in,0.251 in ** 4,0.356 in ** 3,0.264 in ** 3,0.634 in,0.501 in ** 4,0.527 in ** 3
HSS1.66X.140,HSS1.660X0.140,RoundHSS,2.27 plf,0.625 in ** 2,1.66 in,1.4 in,0.14 in,0.13 in,12.8,0.184 in ** 4,0.305 in ** 3,0.222 in ** 3,0.543 in,0.184 in ** 4,0.305 in ** 3,0.222 in ** 3,0.543 in,0.368 in ** 4,0.444 in ** 3
Pipe26STD,Pipe26STD,PIPE,103.0 plf,28.2 in ** 2,26.0 in,25.3 in,0.375 in,0.349 in,74.5,2320.0 in ** 4,230.0 in ** 3,178.0 in ** 3,9.07 in,2320.0 in ** 4,230.0 in ** 3,178.0 in ** 3,9.07 in,4640.0 in ** 4,356.923076923077 in ** 3
Pipe24SCH20,Pipe24STD,PIPE,94.7 plf,26.0 in ** 2,24.0 in,23.3 in,0.375 in,0.349 in,68.8,1820.0 in ** 4,196.0 in ** 3,152.0 in ** 3,8.36 in,1820.0 in ** 4,196.0 in ** 3,152.0 in ** 3,8.36 in,3640.0 in ** 4,303.333333333333 in ** 3
Pipe20SCH20,Pipe20STD,PIPE,78.7 plf,21.6 in ** 2,20.0 in,19.3 in,0.375 in,0.349 in,57.3,1040.0 in ** 4,135.0 in ** 3,104.0 in ** 3,6.95 in,1040.0 in ** 4,135.0 in ** 3,104.0 in ** 3,6.95 in,2090.0 in ** 4,209.0 in ** 3
Pipe18STD,Pipe18STD,PIPE,70.7 plf,19.4 in ** 2,18.0 in,17.3 in,0.375 in,0.349 in,51.6,756.0 in ** 4,109.0 in ** 3,84.0 in ** 3,6.24 in,756.0 in ** 4,109.0 in ** 3,84.0 in ** 3,6.24 in,1510.0 in ** 4,167.777777777778 in ** 3
Pipe16SCH30,Pipe16STD,PIPE,62.6 plf,17.2 in ** 2,16.0 in,15.3 in,0.375 in,0.349 in,45.8,527.0 in ** 4,85.7 in ** 3,65.9 in ** 3,5.53 in,527.0 in ** 4,85.7 in ** 3,65.9 in ** 3,5.53 in,1050.0 in ** 4,131.25 in ** 3
Pipe14SCH30,Pipe14STD,PIPE,54.6 plf,15.0 in ** 2,14.0 in,13.3 in,0.375 in,0.349 in,40.1,350.0 in ** 4,65.2 in ** 3,50.0 in ** 3,4.83 in,350.0 in ** 4,65.2 in ** 3,50.0 in ** 3,4.83 in,700.0 in ** 4,100.0 in ** 3
Pipe12STD,Pipe12STD,PIPE,49.6 plf,13.7 in ** 2,12.75 in,12.0 in,0.375 in,0.349 in,36.5,262.0 in ** 4,53.7 in ** 3,41.0 in ** 3,4.39 in,262.0 in ** 4,53.7 in ** 3,41.0 in ** 3,4.39 in,523.0 in ** 4,82.0392156862745 in ** 3
Pipe10SCH40,Pipe10STD,PIPE,40.5 plf,11.5 in ** 2,10.75 in,10.0 in,0.365 in,0.34 in,31.6,151.0 in ** 4,36.9 in ** 3,28.1 in ** 3,3.68 in,151.0 in ** 4,36.9 in ** 3,28.1 in ** 3,3.68 in,302.0 in ** 4,56.1860465116279 in ** 3
Pipe8SCH40,Pipe8STD,PIPE,28.6 plf,7.85 in ** 2,8.625 in,7.98 in,0.322 in,0.3 in,28.8,68.1 in ** 4,20.8 in ** 3,15.8 in ** 3,2.95 in,68.1 in ** 4,20.8 in ** 3,15.8 in ** 3,2.95 in,136.0 in ** 4,31.536231884058 in ** 3
Pipe6SCH40,Pipe6STD,PIPE,19.0 plf,5.2 in ** 2,6.625 in,6.07 in,0.28 in,0.261 in,25.4,26.5 in ** 4,10.6 in ** 3,7.99 in ** 3,2.25 in,26.5 in ** 4,10.6 in ** 3,7.99 in ** 3,2.25 in,52.9 in ** 4,15.9698113207547 in ** 3
Pipe5SCH40,Pipe5STD,PIPE,14.6 plf,4.01 in ** 2,5.563 in,5.05 in,0.258 in,0.241 in,23.1,14.3 in ** 4,6.83 in ** 3,5.14 in ** 3,1.88 in,14.3 in ** 4,6.83 in ** 3,5.14 in ** 3,1.88 in,28.6 in ** 4,10.2822218227575 in ** 3
